1,Person1,1,2,3,4,
2,Person2,2,4,1,3,
3,Person3,1,3,2,4,
4,Person4,4,2,3,1,
5,Person5,1,4,3,2,
6,Person6,2,3,1,4,
7,Person7,4,1,2,3,
8,Person8,3,2,4,1,
9,Person9,2,1,4,3,
10,Person10,3,4,1,2,
11,Person11,1,2,3,4,
12,Person12,4,3,2,1,
13,Person13,4,1,3,2,
14,Person14,2,3,4,1,
15,Person15,1,4,2,3,
16,Person16,3,2,1,4,
17,Person17,3,1,2,4,
18,Person18,2,4,3,1,
19,Person19,1,3,4,2,
20,Person20,4,2,1,3,
21,Person21,1,2,4,3,
22,Person22,4,3,1,2,
23,Person23,2,1,3,4,
24,Person24,3,4,2,1,
25,Person25,2,3,1,4,
26,Person26,4,1,2,3,
27,Person27,1,4,3,2,
28,Person28,3,2,4,1,
29,Person29,1,3,4,2,
30,Person30,4,2,1,3,
31,Person31,3,1,2,4,
32,Person32,2,4,3,1,
33,Person33,4,1,2,3,
34,Person34,2,3,1,4,
35,Person35,1,4,3,2,
36,Person36,3,2,4,1,
37,Person37,2,1,4,3,
38,Person38,3,4,1,2,
39,Person39,1,2,3,4,
40,Person40,4,3,2,1,
41,Person41,1,3,2,4,
42,Person42,4,2,3,1,
43,Person43,3,1,4,2,
44,Person44,2,4,1,3,
45,Person45,3,2,1,4,
46,Person46,1,4,2,3,
47,Person47,4,3,1,2,
48,Person48,2,1,4,3,
